CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Breakbulk,,,31,31,,,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,0,,31,31,0,0,0,0,0,0,0,0
,Bulk,,,"332,337",,,,,"17,799",,,"26,438","288,100","363,248",,,,,"7,600",,,"34,363","321,285","311,568",,,,,,,,"32,346","279,222","232,970",,,,,"4,079",,,"26,941","201,950","1,240,123",0,0,0,0,"29,478",0,0,"120,088","1,090,557"
,Containerized,,,"258,190","258,190",,,,,,,,,"272,213","272,213",,,,,,,,,"297,364","297,364",,,,,,,0,,"269,430","269,430",,,,0,,,0,,"1,097,197","1,097,197",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,0,,,0,,0,0,0,0,0,0,0,0,0,0
,Import,,,"2,825,764","1,129,913",0,0,"59,660","273,501","52,551",0,"532,114","778,024","3,052,986","1,092,931",0,0,"35,916","295,448","52,625",0,"818,383","757,683","3,500,849","1,143,339",0,0,"37,088","402,234","2,494",0,"886,831","1,028,862","2,944,625","1,003,978",0,0,"36,724","367,940","55,267",0,"734,695","746,020","12,324,224","4,370,162",0,0,"169,389","1,339,123","162,937",0,"2,972,023","3,310,590"
,Breakbulk,,,"206,631","194,911",,,,,0,,"11,720",,"141,376","136,798",,,,,0,,"4,578",,"119,491","119,491",,,,,,,0,,"107,903","107,903",,,,,0,,0,,"575,401","559,104",0,0,0,0,0,0,"16,298",0
,Bulk,,,"1,693,977","9,847",,,"59,660","273,501",52551,,"520,394","778,024","1,968,977","13,500",,,"35,916","295,448","52,625",,"813,805","757,683","2,402,009","44,500",,,"37,088","402,234","2,494",,"886,831","1,028,862","1,965,647","25,000",,,"36,724","367,940","55,267",,"734,695","746,020","8,030,611","92,847",0,0,"169,389","1,339,123","162,937",0,"2,955,725","3,310,590"
,Containerized,,,"925,155","925,155",,,,,0,,,,"942,633","942,633",,,,,0,,,,"979,348","979,348",,,,,,,0,,"871,076","871,076",,,,0,0,,0,,"3,718,212","3,718,212",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,0,,,,0,,,,,,0,,,,0,,,,,,,,0,,0,,,,,0,0,,0,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
