CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,1st Quarter,,,,,,,,,TOTAL,2nd Quarter,,,,,,,,,TOTAL,3rd Quarter,,,,,,,,,TOTAL,4th Quarter,,,,,,,,,Grand Total,Grand Total,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Breakbulk,,,"7,774",,,,,,,,"7,774",,"1,505",,,,,,,,"1,505",,252,17,,,,,,,235,,0,,,,,,,,,,"9,531",17,0,0,0,0,0,0,"9,514",0
,Bulk,,,"297,096",,,,,"8,000",,,"57,196","231,900","158,651",,,,,,,,"46,651","112,000","260,070",,,,,"12,812",,,"53,058","194,200","498,046",,,,,,,,"444,046","54,000","1,213,863",0,0,0,0,"20,812",0,0,"600,951","592,100"
,Containerized,,,"284,620","284,620",,,,,,,0,,"182,954","182,954",,,,,,,0,,"303,122","303,122",,,,,,,0,,"283,676","283,676",,,,,,,,,"1,054,372","1,054,372",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,,0,,0,,,,,,,,0,,0,,,,,,,,0,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
,Import,,,"2,855,186","986,689",0,0,"83,520","332,047","90,621",0,"577,619","784,690","2,424,805","1,106,875",0,0,"43,883","233,441","1,025",0,"487,881","551,700","3,291,222","1,188,722",0,0,"43,003","366,124","100,739",0,"662,757","929,877","3,159,718","1,174,743",0,0,"30,359","329,451","75,027",0,"567,426","982,712","11,730,931","4,457,029",0,0,"200,765","1,261,063","267,412",0,"2,295,683","3,248,979"
,Breakbulk,,,"166,939","112,885",,,0,0,,,"54,054",,"252,270","190,828",,,,,,,"61,442",,"217,938","177,423",,,,"2,000",,,"38,515",,"159,173","159,173",,,,,,,0,,"796,320","640,309",0,0,0,"2,000",0,0,"154,011",0
,Bulk,,,"1,843,443","29,000",,,"83,520","332,047","90,621",,"523,565","784,690","1,262,588","6,100",,,"43,883","233,441","1,025",,"426,439","551,700","2,087,408","25,423",,,"43,003","364,124","100,739",,"624,242","929,877","2,026,075","41,100",,,"30,359","329,451","75,027",,"567,426","982,712","7,219,514","101,623",0,0,"200,765","1,259,063","267,412",0,"2,141,672","3,248,979"
,Containerized,,,"844,804","844,804",,,0,0,,,0,,"909,947","909,947",,,,,,,0,,"985,876","985,876",,,,0,,,0,,"974,470","974,470",,,,,,,0,,"3,715,097","3,715,097",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,,,,0,,0,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container (TEU),,,,"239,973","110,088","100,735","2,180","7,351","12,758",0,0,799,"6,063","169,511","105,896","38,923","1,299","6,735","10,738",20,0,"1,939","3,962","231,001","127,490","71,462","1,541","7,513","13,828",344,0,"2,904","5,920","236,721","119,632","90,527","1,553","6,908","12,057",0,0,"1,604","4,441","877,206","463,106","301,647","6,572","28,506","49,380",364,0,"7,246","20,386"
,Domestic,,,"134,573","4,688","100,735","2,180","7,351","12,758",0,0,799,"6,063","67,613","3,998","38,923","1,299","6,735","10,738",20,0,"1,939","3,962","111,490","7,979","71,462","1,541","7,513","13,828",344,0,"2,904","5,920","124,989","7,901","90,527","1,553","6,908","12,057",0,0,"1,604","4,439","438,665","24,566","301,647","6,572","28,506","49,380",364,0,"7,246","20,384"
,Inbound,,,"69,187","3,314","50,568","1,077","3,881","6,932",0,0,416,"3,000","35,670","2,710","20,194",533,"3,511","5,926",0,0,818,"1,978","60,490","5,806","37,606",724,"3,842","7,728",344,0,"1,424","3,016","65,314","5,434","46,550",777,"3,599","6,573",0,0,880,"1,501","230,660","17,264","154,918","3,111","14,833","27,159",344,0,"3,538","9,495"
