CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 4TH QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,OCTOBER,,,,,,,,,TOTAL,NOVEMBER,,,,,,,,,TOTAL,DECEMBER,,,,,,,,,TOTAL,4TH QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,Bulk,,,"595,188","12,250",,,"25,589","  126,644 ",2460,,"186,361","241,884","675,098","6,100",,,"14,066","95,093",51960,,"185,025","322,854","598,939","13,285",,,"14,517","121,437",59218.453,,228650,"161,832","1,869,225","31,635",0,0,"54,171","343,174","113,638",0,"600,036","726,570"
,Containerized,,,"279,563","279,563",,,,,,,0,,"298,432","298,432",,,,,,,,,"306,198","306,198",,,,,,,0,,"884,192","884,192",0,0,0,0,0,0,0,0
,Rolling,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container (TEU),,,,"77,931","37,921","24,750",662,"9,255","4,218",0,0,0,"1,126","80,046","37,208","24,625",586,"12,567","4,019",0,0,90,952,"77,187","  36,772 ","22,799",604,"11,874","3,907",0,0,0,"1,232","235,164","111,900","72,174","1,851","33,695","12,144",0,0,90,"3,310"
,Domestic,,,"42,872","2,861","24,750",662,"9,255","4,218",0,0,0,"1,126","45,174","2,336","24,625",586,"12,567","4,019",0,0,90,952,"43,577","  3,162 ","22,799",604,"11,874","3,907",0,0,0,"1,232","131,623","8,359","72,174","1,851","33,695","12,144",0,0,90,"3,310"
,Inbound,,,"23,549","1,598","13,825",344,"4,801","2,419",0,0,0,562,"24,757","1,471","13,630",302,"6,440","2,349",0,0,90,476,"23,646","  1,738 ","13,226",307,"5,512","2,194",0,0,0,669,"71,951","4,807","40,681",953,"16,752","6,962",0,0,90,"1,707"
,Empties,,,"2,096",,472,124,829,110,,,,562,"2,542",3,505,160,"1,232",77,,,90,476,"2,080",  10 ,478,147,751,26,,,,669,"6,718",13,"1,454",430,"2,811",213,0,0,90,"1,707"
,Fulls,,,"21,453","1,598","13,354",221,"3,972","2,309",,,,,"22,215","1,468","13,125",142,"5,208","2,272",,,,,"21,566","  1,728 ","12,749",161,"4,761","2,168",,,,,"65,234","4,794","39,227",523,"13,941","6,749",0,0,0,0
,Outbound,,,"19,323","1,263","10,925",318,"4,455","1,799",0,0,0,564,"20,417",865,"10,995",284,"6,127","1,670",0,0,0,476,"19,932","  1,424 ","9,573",297,"6,362","1,713",0,0,0,563,"59,672","3,552","31,493",898,"16,944","5,182",0,0,0,"1,603"
