CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 1ST QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,JANUARY 2022,,,,,,,,,TOTAL,FEBRUARY 2022,,,,,,,,,TOTAL,MARCH 2022,,,,,,,,,TOTAL,1st QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,4W  1100-2300,,,"  8,224 ",,  710 ,  372 ,  114 ,,"  2,402 ","  1,415 ","  1,164 ","  2,047 ","  8,763 ",,  691 ,  356 ,  97 ,,"  2,945 ","  1,508 ","  1,267 ","  1,899 ","  10,042 ",  -   ,  752 ,  348 ,  74 ,403,"  3,489 ","  1,177 ","  1,651 ","  2,148 ","  27,029 ",0,"2,153","1,076",285,403,"8,836","4,100","4,082","6,094"
,4W  2400-over,,,"  10,569 ",,"  1,869 ",  365 ,  357 ,291,  -   ,"  3,997 ",  653 ,"  3,037 ","  11,374 ",,"  1,947 ",  364 ,  216 ,705,  -   ,"  3,931 ","  1,043 ","  3,168 ","  13,240 ",  -   ,"  2,295 ",  349 ,  328 ,283,  -   ,"  4,492 ","  1,683 ","  3,810 ","  35,183 ",0,"6,111","1,078",901,"1,279",0,"12,420","3,379","10,015"
,6W  4800-7500,,,"  3,718 ",,  81 ,  147 ,  24 ,,"  1,315 ",  358 ,  624 ,"  1,169 ","  4,445 ",,  88 ,  177 ,  26 ,,"  1,548 ",  641 ,  695 ,"  1,270 ","  5,063 ",  -   ,  76 ,  166 ,  25 ,322,"  1,671 ",  652 ,  905 ,"  1,246 ","  13,226 ",0,245,490,75,322,"4,534","1,651","2,224","3,685"
,6W  7600-15000,,,"  4,822 ",,  454 ,  162 ,  55 ,489,  -   ,"  2,064 ",  465 ,"  1,133 ","  5,104 ",,  409 ,  185 ,  61 ,839,  -   ,"  2,023 ",  467 ,"  1,120 ","  5,073 ",  -   ,  483 ,  177 ,  91 ,413,  -   ,"  2,133 ",  609 ,"  1,167 ","  14,999 ",0,"1,346",524,207,"1,741",0,"6,220","1,541","3,420"
,8W-10W  20000-25000,,,"  8,430 ",,  56 ,  28 ,,33,"  2,627 ",  163 ,"  3,179 ","  2,344 ","  9,381 ",,  153 ,  16 ,,24,"  2,937 ",  138 ,"  3,556 ","  2,557 ","  10,474 ",  -   ,  141 ,  25 ,  15 ,20,"  3,037 ",  217 ,"  4,192 ","  2,827 ","  28,285 ",0,350,69,15,77,"8,601",518,"10,927","7,728"
,Heavy Equipment,,,  97 ,,  5 ,  23 ,  4 ,13,  -   ,  4 ,  26 ,  22 ,  67 ,,  2 ,  20 ,,26,  -   ,  5 ,  10 ,  4 ,  63 ,  -   ,,  18 ,  1 ,,  1 ,  8 ,  34 ,  1 ,  227 ,0,7,61,5,39,1,17,70,27
,Motor Cycle/ Motor Bike,,,"  17,661 ",,"  2,621 ","  1,107 ",  806 ,162,"  2,762 ","  3,960 ","  3,019 ","  3,224 ","  13,446 ",,"  1,573 ",  541 ,  363 ,406,"  2,477 ","  3,143 ","  1,802 ","  3,141 ","  13,991 ",  -   ,"  1,617 ",  379 ,  347 ,358,"  2,598 ","  2,878 ","  2,496 ","  3,318 ","  45,098 ",0,"5,811","2,027","1,516",926,"7,837","9,981","7,317","9,683"
,Outbound,,,"  56,440 ",  -   ,"  5,834 ","  2,275 ","  1,932 ","  2,663 ","  9,519 ","  13,832 ","  7,653 ","  12,732 ","  60,475 ",  -   ,"  6,164 ","  1,971 ","  1,549 ","  3,706 ","  10,012 ","  13,271 ","  9,135 ","  14,667 ","  66,990 ",  -   ,"  6,689 ","  1,827 ","  1,940 ","  3,778 ","  10,928 ","  13,711 ","  12,068 ","  16,049 ","  183,905 ",  -   ,"  18,687 ","  6,073 ","  5,421 ","  10,147 ","  30,459 ","  40,814 ","  28,856 ","  43,448 "
,10W  26000-over,,,"  6,991 ",,"  1,299 ",  370 ,  374 ,"  1,705 ",  451 ,"  2,190 ",  249 ,  353 ,"  6,876 ",,"  1,158 ",  356 ,  425 ,"  1,965 ",  137 ,"  1,989 ",  390 ,  456 ,"  7,488 ",  -   ,"  1,354 ",  258 ,  649 ,"  1,912 ",  240 ,"  2,152 ",  380 ,  543 ,"  21,355 ",0,"3,811",984,"1,448","5,582",828,"6,331","1,019","1,352"
,4W  1100-2300,,,"  7,572 ",,  725 ,  370 ,  243 ,,"  2,353 ","  1,222 ",  876 ,"  1,783 ","  9,405 ",,  960 ,  324 ,  161 ,,"  2,947 ","  1,458 ","  1,242 ","  2,313 ","  10,818 ",  -   ,  957 ,  375 ,  230 ,  403 ,"  3,502 ","  1,189 ","  1,522 ","  2,640 ","  27,795 ",0,"2,642","1,069",634,403,"8,802","3,869","3,640","6,736"
,4W  2400-over,,,"  10,643 ",,"  1,945 ",  360 ,  424 ,  296 ,  -   ,"  3,996 ",  497 ,"  3,125 ","  12,166 ",,"  2,171 ",  350 ,  316 ,  637 ,  -   ,"  3,898 ",  857 ,"  3,937 ","  14,103 ",  -   ,"  2,366 ",  373 ,  446 ,  325 ,  -   ,"  4,466 ","  1,703 ","  4,424 ","  36,912 ",0,"6,482","1,083","1,186","1,258",0,"12,360","3,057","11,486"
,6W  4800-7500,,,"  3,291 ",,  122 ,  158 ,  36 ,,"  1,354 ",  299 ,  563 ,  759 ,"  4,084 ",,  114 ,  162 ,  36 ,,"  1,596 ",  607 ,  746 ,  823 ,"  4,702 ",  -   ,  121 ,  177 ,  24 ,  325 ,"  1,622 ",  649 ,  866 ,  918 ,"  12,077 ",0,357,497,96,325,"4,572","1,555","2,175","2,500"
,6W  7600-15000,,,"  5,082 ",,  495 ,  161 ,  107 ,  471 ,  -   ,"  2,046 ",  451 ,"  1,351 ","  5,181 ",,  498 ,  163 ,  61 ,  654 ,  -   ,"  1,994 ",  476 ,"  1,335 ","  5,384 ",  -   ,  562 ,  197 ,  116 ,  341 ,  -   ,"  2,132 ",  585 ,"  1,451 ","  15,647 ",0,"1,555",521,284,"1,466",0,"6,172","1,512","4,137"
,8W-10W  20000-25000,,,"  7,651 ",,  25 ,  21 ,  6 ,  23 ,"  2,752 ",  164 ,"  3,219 ","  1,441 ","  8,526 ",,  118 ,  23 ,  4 ,  36 ,"  2,893 ",  158 ,"  3,679 ","  1,615 ","  9,949 ",  -   ,  144 ,  16 ,  11 ,  30 ,"  2,987 ",  214 ,"  4,584 ","  1,963 ","  26,126 ",0,287,60,21,89,"8,632",536,"11,482","5,019"
,Heavy Equipment,,,  88 ,,  24 ,  24 ,  1 ,  6 ,  -   ,  4 ,  19 ,  10 ,  79 ,,  16 ,  24 ,  1 ,  26 ,  -   ,  6 ,  1 ,  5 ,  100 ,  -   ,  14 ,  26 ,  2 ,  11 ,  2 ,  9 ,  23 ,  13 ,  267 ,0,54,74,4,43,2,19,43,28
,Motor Cycle/ Motor Bike,,,"  15,122 ",,"  1,199 ",  811 ,  741 ,  162 ,"  2,609 ","  3,911 ","  1,779 ","  3,910 ","  14,158 ",,"  1,129 ",  569 ,  545 ,  388 ,"  2,439 ","  3,161 ","  1,744 ","  4,183 ","  14,446 ",  -   ,"  1,171 ",  405 ,  462 ,  431 ,"  2,575 ","  2,900 ","  2,405 ","  4,097 ","  43,726 ",0,"3,499","1,785","1,748",981,"7,623","9,972","5,928","12,190"
