CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 2ND QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,APRIL 2023,,,,,,,,,TOTAL,MAY 2023,,,,,,,,,TOTAL,JUNE 2023,,,,,,,,,TOTAL,2ND QUARTER 2022,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,        Inbound,,,490,0,490,0,0,0,0,0,0,0,29,,29,0,0,0,0,0,0,0,719,,719,0,0,0,0,0,0,0,"2,083",0,"1,238",0,0,0,0,0,0,0
,              Empties,,,6,,6,,,,,,,,0,,0,,,,,,,,548,,548,,,,,,,,"1,387",0,554,0,0,0,0,0,0,0
,              Fulls,,,484,,484,,,,,,,,29,,29,,,,,,,,171,,171,,,,,,,,684,0,684,0,0,0,0,0,0,0
,        Outbound,,,490,0,490,0,0,0,0,0,0,0,29,,29,0,0,0,0,0,0,0,184,,171,0,12.5,0,0,0,0,0,703,0,690,0,13,0,0,0,0,0
,              Empties,,,6,,6,,,,,,,,0,,0,,,,,,,,0,,0,,,,,,,,697,0,6,0,0,0,0,0,0,0
,              Fulls,,,484,,484,,,,,,,,29,,29,,,,,,,,184,,171,,12.5,,,,,,697,0,684,0,13,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Rolling Cargoes (No. of Units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,,,"  163,569 ",  -   ,"  8,480 ","  12,728 ","  4,578 ","  8,924 ","  26,617 ","  39,226 ","  27,131 ","  35,885 ","  145,603 ",  -   ,"  9,475 ","  15,025 ","  5,083 ","  8,405 ","  22,047 ","  26,716 ","  25,769 ","  33,083 ","  121,045 ",  -   ,"  9,956 ","  13,198 ","  4,459 ","  9,070 ","  15,422 ","  7,901 ","  26,557 ","  34,482 ","  430,217 ",  -   ,"  27,911 ","  40,951 ","  14,120 ","  26,399 ","  64,086 ","  73,843 ","  79,457 ","  103,450 "
,  Inbound,,,"  81,971 ",  -   ,"  4,552 ","  6,155 ","  2,278 ","  4,453 ","  13,471 ","  19,577 ","  13,745 ","  17,740 ","  73,111 ",  -   ,"  5,185 ","  7,746 ","  2,517 ","  4,092 ","  11,017 ","  13,351 ","  13,079 ","  16,124 ","  58,750 ",  -   ,"  5,235 ","  6,479 ","  2,126 ","  4,432 ","  7,558 ","  2,229 ","  13,295 ","  17,396 ","  213,832 ",  -   ,"  14,972 ","  20,380 ","  6,921 ","  12,977 ","  32,046 ","  35,157 ","  40,119 ","  51,260 "
,     10W  26000-over,,,"  8,216 ",,"  1,063 ",  469 ,  702 ,1753,  358 ,"  2,288 ",  724 ,  859 ,"  8,975 ",,"  1,338 ",  488 ,  785 ,1900,  292 ,"  2,400 ",  736 ,"  1,036 ","  7,274 ",,"  1,295 ",  311 ,  816 ,1856,  193 ,  951 ,  764 ,"  1,088 ","  24,465 ",0,"3,696","1,268","2,303","5,509",843,"5,639","2,224","2,983"
,     4W  1100-2300,,,"  13,037 ",,  672 ,"  1,225 ",  78 ,199,"  4,301 ","  2,172 ","  1,774 ","  2,616 ","  10,684 ",,  534 ,"  1,569 ",  106 ,,"  3,353 ","  1,426 ","  1,746 ","  1,950 ","  9,814 ",,  773 ,"  1,361 ",  65 ,,"  2,570 ",  606 ,"  2,041 ","  2,398 ","  33,535 ",0,"1,979","4,155",249,199,"10,224","4,204","5,561","6,964"
,     4W  2400-over,,,"  17,794 ",,"  1,246 ","  1,238 ",  615 ,737,  1 ,"  6,441 ","  2,651 ","  4,865 ","  14,755 ",,"  1,503 ","  1,600 ",  535 ,769,  4 ,"  3,997 ","  2,140 ","  4,207 ","  11,573 ",,"  1,607 ","  1,382 ",  484 ,937,  -   ,  3 ,"  2,442 ","  4,718 ","  44,122 ",0,"4,356","4,220","1,634","2,443",5,"10,441","7,233","13,790"
,     6W  4800-7500,,,"  4,264 ",,  45 ,  528 ,  22 ,,"  1,580 ",  578 ,  509 ,"  1,002 ","  4,496 ",,  44 ,  558 ,  82 ,,"  1,622 ",  564 ,  642 ,  984 ,"  4,035 ",,  74 ,  595 ,  53 ,,"  1,310 ",  256 ,  655 ,"  1,092 ","  12,795 ",0,163,"1,681",157,0,"4,512","1,398","1,806","3,078"
,     6W  7600-15000,,,"  5,765 ",,  200 ,  546 ,  135 ,824,  6 ,"  1,931 ",  890 ,"  1,233 ","  5,612 ",,  225 ,  589 ,  77 ,834,  3 ,"  1,909 ",  792 ,"  1,183 ","  3,911 ",,  267 ,  611 ,  107 ,1002,  3 ,  18 ,  737 ,"  1,166 ","  15,288 ",0,692,"1,746",319,"2,660",12,"3,858","2,419","3,582"
,     8W-10W  20000-25000,,,"  9,439 ",,  12 ,  548 ,  3 ,15,"  2,736 ",  191 ,"  3,660 ","  2,274 ","  9,988 ",,  15 ,  560 ,  18 ,39,"  2,590 ",  200 ,"  4,015 ","  2,551 ","  9,098 ",,  8 ,  745 ,  1 ,25,"  1,844 ",  132 ,"  3,914 ","  2,429 ","  28,525 ",0,35,"1,853",22,79,"7,170",523,"11,589","7,254"
