CEBU PORT AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY PORT TRAFFIC STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 3RD QUARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTICULARS,,,,TOTAL,JULY 2023,,,,,,,,,TOTAL,AUGUST 2023,,,,,,,,,TOTAL,SEPTEMBER 2023,,,,,,,,,TOTAL,3RD QUARTER 2023,,,,,,,,
,,,,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO,,PMO CIP,PMO PIER 4,PMO PIER 3,PMO PIER 1,PMO MANDAUE,PMO DANAO,PMO STA FE,PMO TOLEDO,PMO ARGAO
,     Motor Cycle/ Motor Bike,,,"  16,901 ",,"  1,096 ","  1,464 ",  669 ,548,"  2,515 ","  2,638 ","  3,233 ","  4,738 ","  16,792 ",,"  1,149 ","  1,609 ",  649 ,746,"  1,941 ","  3,027 ","  2,919 ","  4,752 ","  13,253 ",,  839 ,"  1,071 ",  532 ,673,"  1,568 ","  2,277 ","  2,298 ","  3,995 ","  46,946 ",0,"3,084","4,144","1,850","1,967","6,024","7,942","8,450","13,485"
,  Outbound,,,"  72,556 ",  -   ,"  4,463 ","  6,690 ","  2,377 ","  4,723 ","  10,813 ","  12,596 ","  12,749 ","  18,145 ","  70,951 ",  -   ,"  4,271 ","  6,582 ","  2,207 ","  5,826 ","  8,912 ","  13,372 ","  12,238 ","  17,543 ","  61,042 ",  -   ,"  3,679 ","  5,553 ","  2,197 ","  5,019 ","  7,970 ","  11,202 ","  10,626 ","  14,796 ","  204,549 ",  -   ,"  12,413 ","  18,825 ","  6,781 ","  15,568 ","  27,695 ","  37,170 ","  35,613 ","  50,484 "
,     10W  26000-over,,,"  7,826 ",,"  1,389 ",  111 ,  687 ,"  2,145 ",  287 ,"  2,132 ",  380 ,  695 ,"  8,209 ",,"  1,346 ",  177 ,  673 ,"  2,255 ",  254 ,"  2,315 ",  422 ,  767 ,"  8,036 ",,"  1,289 ",  82 ,  753 ,"  2,214 ",  285 ,"  2,329 ",  428 ,  656 ,"  24,071 ",0,"4,024",370,"2,113","6,614",826,"6,776","1,230","2,118"
,     4W  1100-2300,,,"  12,158 ",,  153 ,"  1,664 ",  234 ,,"  3,394 ","  1,399 ","  1,947 ","  3,367 ","  10,701 ",,  199 ,"  1,482 ",  222 ,,"  2,439 ","  1,416 ","  1,593 ","  3,350 ","  8,335 ",,  236 ,"  1,151 ",  215 ,,"  1,714 ","  1,019 ","  1,383 ","  2,617 ","  31,194 ",0,588,"4,297",671,0,"7,547","3,834","4,923","9,334"
,      4W  2400-over,,,"  16,758 ",,"  1,678 ","  1,693 ",  634 ,"  1,044 ",  22 ,"  3,746 ","  2,257 ","  5,684 ","  16,300 ",,"  1,572 ","  1,502 ",  486 ,"  1,389 ",  -   ,"  3,854 ","  2,365 ","  5,132 ","  12,129 ",,"  1,199 ","  1,151 ",  486 ,"  1,050 ",  -   ,"  2,861 ","  1,565 ","  3,817 ","  45,187 ",0,"4,449","4,346","1,606","3,483",22,"10,461","6,187","14,633"
,     6W  4800-7500,,,"  4,787 ",,  103 ,  500 ,  164 ,,"  1,768 ",  560 ,  717 ,  975 ,"  4,269 ",,  88 ,  571 ,  71 ,,"  1,447 ",  562 ,  616 ,  914 ,"  4,246 ",,  77 ,  584 ,  81 ,,"  1,328 ",  594 ,  658 ,  924 ,"  13,302 ",0,268,"1,655",316,0,"4,543","1,716","1,991","2,813"
,     6W  7600-15000,,,"  5,720 ",,  299 ,  519 ,  50 ,  979 ,  9 ,"  1,928 ",  664 ,"  1,272 ","  6,584 ",,  273 ,  572 ,  116 ,"  1,416 ",  57 ,"  2,107 ",  699 ,"  1,344 ","  5,949 ",,  313 ,  571 ,  134 ,"  1,058 ",  29 ,"  1,945 ",  612 ,"  1,287 ","  18,253 ",0,885,"1,662",300,"3,453",95,"5,980","1,975","3,903"
,     8W-10W  20000-25000,,,"  9,199 ",,  10 ,  814 ,  1 ,  25 ,"  2,849 ",  129 ,"  3,928 ","  1,443 ","  9,119 ",,  15 ,  802 ,  10 ,  38 ,"  2,778 ",  125 ,"  3,812 ","  1,539 ","  9,426 ",,  18 ,  800 ,  4 ,  17 ,"  3,024 ",  182 ,"  3,823 ","  1,558 ","  27,744 ",0,43,"2,416",15,80,"8,651",436,"11,563","4,540"
,     Heavy Equipment,,,  77 ,,  22 ,  -   ,  5 ,  11 ,  6 ,  7 ,  24 ,  2 ,  64 ,,  19 ,  -   ,  3 ,  12 ,  3 ,  15 ,  11 ,  1 ,  57 ,,  15 ,  -   ,  3 ,  4 ,  -   ,  3 ,  16 ,  16 ,  198 ,0,56,0,11,27,9,25,51,19
,     Motor Cycle/ Motor Bike,,,"  16,031 ",,  809 ,"  1,389 ",  602 ,  519 ,"  2,478 ","  2,695 ","  2,832 ","  4,707 ","  15,705 ",,  759 ,"  1,476 ",  626 ,  716 ,"  1,934 ","  2,978 ","  2,720 ","  4,496 ","  12,864 ",,  532 ,"  1,214 ",  521 ,  676 ,"  1,590 ","  2,269 ","  2,141 ","  3,921 ","  44,600 ",0,"2,100","4,079","1,749","1,911","6,002","7,942","7,693","13,124"
